"CustomerID","PersonID","StoreID","TerritoryID","AccountNumber","rowguid","ModifiedDate"
"10","","928","6","AW00000010","{CDB6698D-2FF1-4FBA-8F22-60AD1D11DABD}","2014-09-12 11:15:07.263000000"
"11","","1022","6","AW00000011","{750F3495-59C4-48A0-80E1-E37EC60E77D9}","2014-09-12 11:15:07.263000000"
"12","","622","6","AW00000012","{947BCAF1-1F32-44F3-B9C3-0011F95FBE54}","2014-09-12 11:15:07.263000000"
"28","","490","6","AW00000028","{9B8A04A4-D909-4F49-B1C5-3DE317D69B2A}","2014-09-12 11:15:07.263000000"
"29","","1010","6","AW00000029","{ECA7C8FA-490B-4B97-9C32-043C90F789E8}","2014-09-12 11:15:07.263000000"
"30","","1340","6","AW00000030","{2B15DFB1-831E-49E7-B337-395798B129E7}","2014-09-12 11:15:07.263000000"
"46","","1288","6","AW00000046","{21849ECF-88C2-4574-89D5-397B84DF1D0F}","2014-09-12 11:15:07.263000000"
"47","","998","6","AW00000047","{0D9ABE85-D952-432D-831A-8BEB7F4E49D0}","2014-09-12 11:15:07.263000000"
"48","","1352","6","AW00000048","{E656589A-198F-454F-B02F-9CE324457BDF}","2014-09-12 11:15:07.263000000"
"64","","1276","6","AW00000064","{E6B6F92D-4AC6-4BC7-BF6B-2F3C67498DE7}","2014-09-12 11:15:07.263000000"
"65","","986","6","AW00000065","{7E082443-8AF6-4BB6-A0F5-1586271D1F2C}","2014-09-12 11:15:07.263000000"
"66","","782","6","AW00000066","{E91E0048-9A25-489B-96C1-D726DA68FB7C}","2014-09-12 11:15:07.263000000"
"82","","1264","6","AW00000082","{92618ECE-2254-4852-B3B3-46ED2E0E3E1A}","2014-09-12 11:15:07.263000000"
"83","","552","6","AW00000083","{8E01F170-64D3-4B74-82E1-D1691AE9F37C}","2014-09-12 11:15:07.263000000"
"84","","794","6","AW00000084","{45A614CE-3137-4A12-8296-24048C18F320}","2014-09-12 11:15:07.263000000"
"100","","1252","6","AW00000100","{E789F6DD-3159-4DDC-81A8-8571C571656E}","2014-09-12 11:15:07.263000000"
"101","","732","6","AW00000101","{67AD4F37-2467-4438-A749-D947BEEC3A92}","2014-09-12 11:15:07.263000000"
"102","","1312","6","AW00000102","{959CF74B-1004-43F5-9AB7-4CDD482C847D}","2014-09-12 11:15:07.263000000"
"118","","1322","6","AW00000118","{5FEAFBD2-4A43-4641-8E94-B3059B2A882E}","2014-09-12 11:15:07.263000000"
"119","","1882","6","AW00000119","{D13245EF-8267-4CB4-87C9-C23155D33E93}","2014-09-12 11:15:07.263000000"
"120","","720","6","AW00000120","{25863C18-4C9A-4BC9-BE0D-95F4CF67BF7D}","2014-09-12 11:15:07.263000000"
"136","","980","6","AW00000136","{84CD4767-F142-4D9D-9033-AD3ADE34BF74}","2014-09-12 11:15:07.263000000"
