"CustomerID","PersonID","StoreID","TerritoryID","AccountNumber","rowguid","ModifiedDate"
"16","","432","10","AW00000016","{C9381589-D31C-4EFE-8978-8D3449EB1F0F}","2014-09-12 11:15:07.263000000"
"34","","940","10","AW00000034","{9EDDA794-7862-4FF4-B8E2-528847CAB2BD}","2014-09-12 11:15:07.263000000"
"52","","1284","10","AW00000052","{8FB34B30-B19D-4AEC-B02E-F1BE942800E5}","2014-09-12 11:15:07.263000000"
"70","","1272","10","AW00000070","{89E10B04-064E-4313-8203-91FA98A01B11}","2014-09-12 11:15:07.263000000"
"88","","1260","10","AW00000088","{11FEDA31-15B6-4F08-9357-355371D4D928}","2014-09-12 11:15:07.263000000"
"106","","1892","10","AW00000106","{AAFBF7D5-8759-4962-9DEB-77C6E22875F4}","2014-09-12 11:15:07.263000000"
"124","","1326","10","AW00000124","{2F614C31-ABAE-42D0-820B-193F0DDC811E}","2014-09-12 11:15:07.263000000"
"142","","984","10","AW00000142","{B821D13F-E9DB-4A3B-87D0-7E867A161575}","2014-09-12 11:15:07.263000000"
"160","","658","10","AW00000160","{B42D510D-3AE4-4911-88CF-8D90D6BD0922}","2014-09-12 11:15:07.263000000"
"178","","810","10","AW00000178","{05B8FB77-FC67-4279-AEBD-4162D21B9A11}","2014-09-12 11:15:07.263000000"
"196","","1302","10","AW00000196","{5F0EB2D3-4691-4F71-8E9B-A3EACFA4A1D5}","2014-09-12 11:15:07.263000000"
"214","","1410","10","AW00000214","{402E4D5F-27C3-4197-87E8-32AA42E41BB6}","2014-09-12 11:15:07.263000000"
"232","","1152","10","AW00000232","{AA451BD5-FFC2-436C-A295-81B350A5B899}","2014-09-12 11:15:07.263000000"
"250","","1140","10","AW00000250","{CB1ED6CB-18A1-4F7C-8079-DC400B6E506F}","2014-09-12 11:15:07.263000000"
"268","","588","10","AW00000268","{0C316F6F-5D54-41FD-86A3-6ECAF31A01DD}","2014-09-12 11:15:07.263000000"
"286","","944","10","AW00000286","{6266CCC4-1AF0-42E0-BCA4-B33EA6838EEE}","2014-09-12 11:15:07.263000000"
"304","","1484","10","AW00000304","{C332C909-EE43-4312-A9D8-B2365A0160EA}","2014-09-12 11:15:07.263000000"
"322","","1472","10","AW00000322","{1C56E02D-69F4-4C0D-965B-2B7F54AA0A34}","2014-09-12 11:15:07.263000000"
"340","","1984","10","AW00000340","{191FE023-2354-4FBB-88D7-B57ADC3428D8}","2014-09-12 11:15:07.263000000"
"358","","1232","10","AW00000358","{3ED88E2F-3F29-4E30-93D4-CE38474DED23}","2014-09-12 11:15:07.263000000"
"376","","1220","10","AW00000376","{D733948F-DB34-47FF-A618-06123A32E515}","2014-09-12 11:15:07.263000000"
"394","","1208","10","AW00000394","{F53F2CA8-F244-46B8-A64F-A09F657DB9DC}","2014-09-12 11:15:07.263000000"
"412","","1102","10","AW00000412","{BD823AB5-6077-41D3-86C7-7BFA90602024}","2014-09-12 11:15:07.263000000"
"430","","602","10","AW00000430","{D18DFA60-7D7E-4900-A0B6-78DF78E4DEEF}","2014-09-12 11:15:07.263000000"
"448","","856","10","AW00000448","{722AEE8F-6B89-4712-BB35-6861AF3065CD}","2014-09-12 11:15:07.263000000"
"466","","868","10","AW00000466","{94B95997-FD84-4632-BB16-6F21FE706051}","2014-09-12 11:15:07.263000000"
"484","","1832","10","AW00000484","{37398B37-B78B-4460-B012-665828C6B9EC}","2014-09-12 11:15:07.263000000"
"502","","1844","10","AW00000502","{E8DD8339-8804-46F2-AC6C-BCE931FF0831}","2014-09-12 11:15:07.263000000"
"520","","596","10","AW00000520","{34C094D7-8C79-47A5-B192-9597826BD55D}","2014-09-12 11:15:07.263000000"
"538","","534","10","AW00000538","{35E95974-7000-4081-A041-64011DE880A2}","2014-09-12 11:15:07.263000000"
"556","","1440","10","AW00000556","{AF0745DF-2902-4BDE-9F2B-48CA6A81CEEF}","2014-09-12 11:15:07.263000000"
"574","","1116","10","AW00000574","{570C76DB-C00E-420C-AF27-40E55457FFD4}","2014-09-12 11:15:07.263000000"
"592","","1802","10","AW00000592","{13F01A4D-69BE-4DC7-9BFC-2339B0011D37}","2014-09-12 11:15:07.263000000"
"617","","1122","10","AW00000617","{44F580C3-4D01-41C8-964D-24DE6CBE51FC}","2014-09-12 11:15:07.263000000"
"635","","1960","10","AW00000635","{7F84FF66-311C-4396-A5BA-D2470EAADA21}","2014-09-12 11:15:07.263000000"
"641","","1964","10","AW00000641","{321EBC1B-7B5A-449C-8288-26AD3A2D1CAA}","2014-09-12 11:15:07.263000000"
"659","","1382","10","AW00000659","{A2098F7B-3D3A-4894-90D7-C79C118845D5}","2014-09-12 11:15:07.263000000"
"665","","1386","10","AW00000665","{1FBCCC49-197B-4A5F-9AAD-42B8AE9EE999}","2014-09-12 11:15:07.263000000"
"683","","1398","10","AW00000683","{243EF1F5-74D0-4E3C-9B0D-C7AA926F3D64}","2014-09-12 11:15:07.263000000"
"689","","1402","10","AW00000689","{AF583E23-093C-4232-B886-A1EE64BCD3C9}","2014-09-12 11:15:07.263000000"
"11238","3392","","10","AW00011238","{9DD00331-CD15-46FB-8174-53CE82E7698E}","2014-09-12 11:15:07.263000000"
"11239","16405","","10","AW00011239","{9DA8290E-D0E9-43FC-8410-28A5FB6EF65E}","2014-09-12 11:15:07.263000000"
"11240","14359","","10","AW00011240","{2253D8FD-3AC6-4A72-A2A1-15F81CCAFCC2}","2014-09-12 11:15:07.263000000"
"11243","13712","","10","AW00011243","{61DD71EB-C410-487F-BE19-CE36803D10AE}","2014-09-12 11:15:07.263000000"
"11244","12751","","10","AW00011244","{976A7FEE-5734-46A3-BA98-9B6693942DCF}","2014-09-12 11:15:07.263000000"
"11247","5863","","10","AW00011247","{EA369D9E-FBD4-4456-B181-7E96B46CBA05}","2014-09-12 11:15:07.263000000"
"11250","2526","","10","AW00011250","{679CEC99-B317-41B4-A477-E94DD066C54F}","2014-09-12 11:15:07.263000000"
"11333","12230","","10","AW00011333","{B30BA58C-C257-45E5-8C89-D2AAF400375B}","2014-09-12 11:15:07.263000000"
"11334","11435","","10","AW00011334","{68F601B2-5A13-4C44-8524-D26FDD81658A}","2014-09-12 11:15:07.263000000"
"11337","7701","","10","AW00011337","{05286273-8DC7-4BCE-99DC-0B97EF4F49F7}","2014-09-12 11:15:07.263000000"
"11341","18181","","10","AW00011341","{3DF1B2D6-528D-4C82-B48D-D6D8D578BB0D}","2014-09-12 11:15:07.263000000"
"11343","10977","","10","AW00011343","{BD5A032B-A9DA-4467-BF9C-52F72855BF8F}","2014-09-12 11:15:07.263000000"
"11344","5432","","10","AW00011344","{6713118F-3CE6-4544-84BE-FCEEC2800540}","2014-09-12 11:15:07.263000000"
"11350","4840","","10","AW00011350","{004F24C8-6E94-4F64-BC77-3A1651C78AFA}","2014-09-12 11:15:07.263000000"
"11351","14384","","10","AW00011351","{09B4F412-AFFA-411E-8DD0-40B6B43BACAB}","2014-09-12 11:15:07.263000000"
"11353","17884","","10","AW00011353","{3F817F2E-1490-47A1-868B-2A5A447B2BD1}","2014-09-12 11:15:07.263000000"
"11355","14813","","10","AW00011355","{390920D3-09C5-4A9D-A1F4-37B4AC83DB89}","2014-09-12 11:15:07.263000000"
"11375","16715","","10","AW00011375","{9A282E70-3874-43E5-81D9-776ED9A7A0ED}","2014-09-12 11:15:07.263000000"
"11376","14864","","10","AW00011376","{90C4CE2D-B0CC-4526-9415-7DD7639C4413}","2014-09-12 11:15:07.263000000"
"11381","10600","","10","AW00011381","{118A763A-D40A-41CA-B660-59F1A5A7C7E9}","2014-09-12 11:15:07.263000000"
"11385","4106","","10","AW00011385","{B1B7DDC2-E061-49F6-A58F-3130E1EF1F32}","2014-09-12 11:15:07.263000000"
"11387","19112","","10","AW00011387","{1AB9FE36-00D6-4B08-BE57-7FA631159C36}","2014-09-12 11:15:07.263000000"
"11388","18946","","10","AW00011388","{AAEE82EC-ACEC-4CB2-B3BB-7A977897B954}","2014-09-12 11:15:07.263000000"
"11394","20196","","10","AW00011394","{41FCF40A-4247-407A-9792-2C750BB8F460}","2014-09-12 11:15:07.263000000"
"11398","13507","","10","AW00011398","{036520ED-552E-4893-9F0F-6D1B3DB6AC91}","2014-09-12 11:15:07.263000000"
"11400","8578","","10","AW00011400","{335ECDE6-985F-4BEB-8982-0016E59F6C5F}","2014-09-12 11:15:07.263000000"
"11408","10237","","10","AW00011408","{F4F07720-764D-444F-85F9-B162BE92D4C5}","2014-09-12 11:15:07.263000000"
"11413","19074","","10","AW00011413","{2E3C77A6-2507-409D-A90E-AB74DFBC096D}","2014-09-12 11:15:07.263000000"
"11414","14749","","10","AW00011414","{A9EEFD22-CA4B-4E7B-AE06-09E494766EA4}","2014-09-12 11:15:07.263000000"
"11419","16758","","10","AW00011419","{4EE8A6A2-6576-4832-BFA7-B38BA398611C}","2014-09-12 11:15:07.263000000"
"11422","2552","","10","AW00011422","{FCA7BF90-BD53-4F71-A54F-14F2BF9442A6}","2014-09-12 11:15:07.263000000"
"11434","16076","","10","AW00011434","{D45943BF-D75C-41CF-AB66-8C21FF922B07}","2014-09-12 11:15:07.263000000"
"11436","3558","","10","AW00011436","{1D8EA423-E669-4C87-9228-E1738FFC2F04}","2014-09-12 11:15:07.263000000"
"11468","12983","","10","AW00011468","{EA0E6AC7-0E46-4A0C-BC8F-948034ACC31F}","2014-09-12 11:15:07.263000000"
"11469","13219","","10","AW00011469","{F434852C-3143-49EB-B99B-7575E2659D17}","2014-09-12 11:15:07.263000000"
"11474","4368","","10","AW00011474","{55C80671-DFCD-4793-B60F-A6B364FA7E97}","2014-09-12 11:15:07.263000000"
"11475","3829","","10","AW00011475","{0BD47820-0BB0-4120-BFA5-454D7128A510}","2014-09-12 11:15:07.263000000"
"11476","18701","","10","AW00011476","{41CCF572-70EB-4476-A71B-C1EF05924041}","2014-09-12 11:15:07.263000000"
"11482","7115","","10","AW00011482","{762CB8A5-1528-4B1C-A8AF-F17477C235B8}","2014-09-12 11:15:07.263000000"
"11485","20025","","10","AW00011485","{FF573BB2-5294-4478-8F2D-84EAC0A784B8}","2014-09-12 11:15:07.263000000"
"11488","8034","","10","AW00011488","{9017447D-E0FB-418A-9774-84EDA2972EBA}","2014-09-12 11:15:07.263000000"
"11489","8865","","10","AW00011489","{E61D74A9-461B-4D49-B44A-429330D89583}","2014-09-12 11:15:07.263000000"
"11491","16087","","10","AW00011491","{3F3731AB-D86B-4C9C-AE32-B333E9DADD00}","2014-09-12 11:15:07.263000000"
"11493","12161","","10","AW00011493","{15E81552-D944-446F-BE27-62487E59B41D}","2014-09-12 11:15:07.263000000"
"11494","15646","","10","AW00011494","{D00B37B2-3687-4258-B6CB-F7F7731FCB42}","2014-09-12 11:15:07.263000000"
"11496","19051","","10","AW00011496","{A8DF86B1-414E-43F2-A632-1D76F33A638A}","2014-09-12 11:15:07.263000000"
"11497","16359","","10","AW00011497","{2A1A2850-68A8-473B-AAFD-538234133647}","2014-09-12 11:15:07.263000000"
"11542","12528","","10","AW00011542","{2B9EDCCE-662A-4F86-8BFF-06526AFFFF7A}","2014-09-12 11:15:07.263000000"
"11548","19486","","10","AW00011548","{A6D30825-3D3E-4FBA-9448-88121703BF0F}","2014-09-12 11:15:07.263000000"
"11549","20772","","10","AW00011549","{1742BEC2-01C3-4194-BB30-A184B947CC68}","2014-09-12 11:15:07.263000000"
"11550","6061","","10","AW00011550","{28274231-9D30-423E-898A-26128E616FD7}","2014-09-12 11:15:07.263000000"
"11553","8511","","10","AW00011553","{282CBA0C-1DF9-4669-AB22-D217DF20E517}","2014-09-12 11:15:07.263000000"
"11555","7606","","10","AW00011555","{25BB9EAD-9F55-4BE2-A0F0-94F733C14559}","2014-09-12 11:15:07.263000000"
"11556","4286","","10","AW00011556","{43DC26B2-0467-4D00-B7F5-4BF15FD2BAFD}","2014-09-12 11:15:07.263000000"
"11557","14296","","10","AW00011557","{03C4EDDC-6F01-4536-A75C-9234D31B6BEC}","2014-09-12 11:15:07.263000000"
"11558","8176","","10","AW00011558","{9CE9B902-8F81-40A0-9E6D-7772C54F0203}","2014-09-12 11:15:07.263000000"
"11560","18895","","10","AW00011560","{F07EE892-EC1D-46BA-9889-79C0C7D7EA73}","2014-09-12 11:15:07.263000000"
